Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Any data questionable,,,,,,,,,,,,,,1
Gladwin City/County Transit,Gladwin,MI,5R03-030,5R03-50395,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 18 ,DR,DO,18,, -   ,  , 16.74 ,  , -   ,  , 3.22 ,  ,0 ,  ,0 ,  ,"571,453 ",  ,,  ,0 ,  ,"34,131 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"109,921 ",  ,0 ,,No,,,,,,,,,,,,,,
Thunderbay Transportation Authority,Alpena,MI,5R03-068,5R03-50233,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 33 ,DR,PT,33,, -   ,  , 16.73 ,  , -   ,  , 4.36 ,  ,0 ,  ,0 ,  ,"563,929 ",  ,,  ,0 ,  ,"33,712 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"147,109 ",  ,0 ,,No,,,,,,,,,,,,,,
Martin County,Stuart,FL,4192,40192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"376,047 ", 9 ,DR,PT,4,, -   ,  , 16.72 ,  , 7.45 ,  , 1.87 ,  ,0 ,  ,"95,242 ",  ,"83,807 ",  ,"11,435 ",  ,"5,613 ",  ,"5,011 ",  ,602 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"9,365 ",  ,"69,779 ",,No,,,,,,,,,,,,,,
Cumberland Dauphin-Harrisburg Transit Authority,Harrisburg,PA,3014,30014,Independent Public Agency or Authority of Transit Service,Full Reporter,"444,474 ", 113 ,DR,PT,16,, -   ,  , 16.72 ,  , 9.52 ,  , 2.40 ,  ,0 ,  ,"657,398 ",  ,"575,783 ",  ,"81,615 ",  ,"40,326 ",  ,"34,440 ",  ,"5,886 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"82,818 ",  ,"788,830 ",,No,,,,,,,,,,,,,,
"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",West Palm Beach,FL,4037,40037,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ", 450 ,DR,PT,279,, -   ,  , 16.71 , Q , 12.86 ,  , 1.61 , Q ,0 ,  ,"10,503,918 ",  ,"8,933,822 ",  ,"1,570,096 ",  ,"641,878 ",  ,"534,672 ", Q ,"107,206 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"862,498 ",  ,"11,091,762 ",,Yes,,,,,,,,,,,,,,
Mountain Empire Older Citizens Transit,Big Stone Gap,VA,3R06-003,3R06-30132,Private-For-Profit Corporation,Rural Reporter,0 , 48 ,DR,DO,48,, -   ,  , 16.70 ,  , -   ,  , 1.48 ,  ,0 ,  ,0 ,  ,"879,116 ",  ,,  ,0 ,  ,"52,649 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"77,816 ",  ,0 ,,No,,,,,,,,,,,,,,
Municipality of Dorado,Dorado,PR,4198,40198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"2,148,346 ", 5 ,DR,DO,2,, -   ,  , 16.68 ,  , -   ,  , 7.29 ,  ,0 ,  ,0 ,  ,"7,758 ",  ,,  ,0 ,  ,465 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"3,388 ",  ,0 ,,No,,,,,,,,,,,,,,
Schuylkill Transportation System,St. Clair,PA,3R04-006,3R04-30127,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 29 ,DR,DO,20,, -   ,  , 16.68 ,  , -   ,  , 3.41 ,  ,0 ,  ,0 ,  ,"362,340 ",  ,,  ,0 ,  ,"21,722 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"74,004 ",  ,0 ,,No,,,,,,,,,,,,,,
Martha's Vineyard Transit Authority,Edgartown,MA,1R02-003,1R02-10145,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 39 ,MB,DO,33,, -   ,  , 16.68 ,  , -   ,  , 19.63 ,  ,0 ,  ,0 ,  ,"1,097,579 ",  ,,  ,0 ,  ,"65,818 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,292,233 ",  ,0 ,,No,,,,,,,,,,,,,,
SNTC-Laughlin,Laughlin,NV,9R04-036,9R04-91072,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 18 ,MB,DO,6,, -   ,  , 16.67 ,  , -   ,  , 22.19 ,  ,0 ,  ,0 ,  ,"261,711 ",  ,,  ,0 ,  ,"15,695 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"348,200 ",  ,0 ,,No,,,,,,,,,,,,,,
People for People Moses Lake,Moses Lake,WA,0R03-029,0R03-00287,Private-Non-Profit Corporation,Rural Reporter,0 , 16 ,DR,DO,12,, -   ,  , 16.67 ,  , -   ,  , 1.54 ,  ,0 ,  ,0 ,  ,"146,420 ",  ,,  ,0 ,  ,"8,782 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"13,553 ",  ,0 ,,No,,,,,,,,,,,,,,
South Central Tennessee Development District,Mt. Pleasant,TN,4R08-007,4R08-40954,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 202 ,DR,DO,196,, -   ,  , 16.67 ,  , -   ,  , 1.28 ,  ,0 ,  ,0 ,  ,"3,701,811 ",  ,,  ,0 ,  ,"222,108 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"283,752 ",  ,0 ,,No,,,,,,,,,,,,,,
South Central Tennessee Development District,Mt. Pleasant,TN,4R08-007,4R08-40954,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 202 ,MB,DO,6,, -   ,  , 16.67 ,  , -   ,  , 1.58 ,  ,0 ,  ,0 ,  ,"141,300 ",  ,,  ,0 ,  ,"8,478 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"13,400 ",  ,0 ,,No,,,,,,,,,,,,,,
Southeast Area Transit,Preston,CT,1040,10040,Independent Public Agency or Authority of Transit Service,Full Reporter,"209,190 ", 21 ,DR,PT,3,, -   ,  , 16.67 ,  , 4.53 ,  , 1.34 ,  ,0 ,  ,"77,137 ",  ,"66,697 ",  ,"10,440 ",  ,"4,594 ",  ,"4,002 ",  ,592 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"5,358 ",  ,"24,272 ",,No,,,,,,,,,,,,,,
Merrimack Valley Regional Transit Authority,Haverhill,MA,1013,10013,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ", 64 ,CB,PT,6,, -   ,  , 16.67 ,  , 27.61 , W , 12.46 ,  ,"87,848 ",  ,"189,785 ",  ,"85,642 ",  ,"104,143 ",  ,"7,696 ",  ,"5,139 ",  ,"2,557 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"64,035 ",  ,"1,767,796 ",W,No,,,,,,,,,,,,,,
Kings County Area Public Transit Agency,Hanford,CA,9200,90200,Independent Public Agency or Authority of Transit Service,Full Reporter,"87,941 ", 20 ,MB,PT,14,, -   ,  , 16.66 ,  , 5.53 ,  , 19.54 ,  ,"647,972 ",  ,"676,986 ",  ,"663,345 ",  ,"13,641 ",  ,"40,596 ",  ,"39,809 ",  ,787 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"777,908 ",  ,"4,301,831 ",,No,,,,,,,,,,,,,,
Martin County,Williamston,NC,4R06-029,4R06-40990,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 8 ,DR,DO,8,, -   ,  , 16.66 ,  , -   ,  , 1.88 ,  ,0 ,  ,0 ,  ,"248,924 ",  ,,  ,0 ,  ,"14,939 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"28,151 ",  ,0 ,,No,,,,,,,,,,,,,,
Marshall County Board of Commissioners,Plymouth,IN,5R02-012,5R02-50246,Private-Non-Profit Corporation,Rural Reporter,0 , 10 ,DR,DO,10,, -   ,  , 16.63 ,  , -   ,  , 2.04 ,  ,0 ,  ,0 ,  ,"221,583 ",  ,,  ,0 ,  ,"13,321 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"27,133 ",  ,0 ,,No,,,,,,,,,,,,,,
River Bend Transit,Davenport,IA,7049,70049,Private-Non-Profit Corporation,Full Reporter,"280,051 ", 38 ,MB,PT,1,, -   ,  , 16.63 ,  , 2.63 ,  , 6.93 ,  ,"30,226 ",  ,"33,320 ",  ,"29,671 ",  ,"3,649 ",  ,"2,005 ",  ,"1,784 ",  ,221 ,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"12,357 ",  ,"32,529 ",,No,,,,,,,,,,,,,,
Craven County,New Bern,NC,4210,40210,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"50,503 ", 26 ,DR,DO,26,, -   ,  , 16.63 ,  , -   ,  , 2.04 ,  ,0 ,  ,0 ,  ,"708,841 ",  ,,  ,0 ,  ,"42,624 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"86,927 ",  ,0 ,,No,,,,,,,,,,,,,,
"Wayne Co. Comm. Servs. Org., dba Wayne X-Press",Huntington,WV,3R05-022,3R05-30179,Private-Non-Profit Corporation,Rural Reporter,0 , 18 ,DR,DO,6,, -   ,  , 16.63 , W , -   ,  , 1.36 , W ,0 ,  ,0 ,  ,"142,385 ", W ,,  ,0 ,  ,"8,564 ", W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"11,677 ",  ,0 ,,No,,,,,,,,,,,,,,
"Wayne Co. Comm. Servs. Org., dba Wayne X-Press",Huntington,WV,3R05-022,3R05-30179,Private-Non-Profit Corporation,Rural Reporter,0 , 18 ,MB,DO,12,, -   ,  , 16.63 , W , -   ,  , 1.36 , W ,0 ,  ,0 ,  ,"242,440 ", W ,,  ,0 ,  ,"14,582 ", W ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"19,882 ",  ,0 ,,No,,,,,,,,,,,,,,
Salt River Pima-Maricopa Indian Community,Scottsdale,AZ,9T23,99376,Tribe,Reduced Reporter,0 , 5 ,DR,DO,5,, -   ,  , 16.62 ,  , -   ,  , 2.37 ,  ,0 ,  ,0 ,  ,"162,227 ",  ,,  ,0 ,  ,"9,760 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"23,157 ",  ,0 ,,No,,,,,,,,,,,,,,
"Manistee County Transportation, Inc.",Manistee ,MI,5R03-048,5R03-50369,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 21 ,DR,DO,21,, -   ,  , 16.62 ,  , -   ,  , 4.63 ,  ,0 ,  ,0 ,  ,"492,184 ",  ,,  ,0 ,  ,"29,613 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"137,043 ",  ,0 ,,No,,,,,,,,,,,,,,
Shiawassee Area Transportation Agency,Owosso,MI,5R03-065,5R03-50227,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 15 ,DR,DO,15,, -   ,  , 16.62 ,  , -   ,  , 3.79 ,  ,0 ,  ,0 ,  ,"393,013 ",  ,,  ,0 ,  ,"23,650 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"89,735 ",  ,0 ,,No,,,,,,,,,,,,,,
Handitran Special Transit Division - City of Arlington,Arlington,TX,6041,60041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,121,892 ", 28 ,CB,PT,2,, -   ,  , 16.61 , W , 3.91 , W , 13.13 , W ,"69,529 ",  ,"132,569 ",  ,"93,036 ", W ,"39,533 ",  ,"6,751 ",  ,"5,601 ", W ,"1,150 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"73,542 ", W ,"287,566 ",W,No,,,,,,,,,,,,,,
Shoshone-Bannock Tribes ,Fort Hall,ID,0T31,00031,Tribe,Reduced Reporter,0 , 6 ,MB,DO,6,, -   ,  , 16.61 ,  , -   ,  , 1.68 ,  ,0 ,  ,0 ,  ,"141,181 ",  ,,  ,0 ,  ,"8,500 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"14,299 ",  ,0 ,,No,,,,,,,,,,,,,,
Beaver County Transit Authority,Rochester,PA,3023,30023,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,733,853 ", 38 ,MB,DO,20,, -   ,  , 16.61 ,  , 10.72 ,  , 19.29 ,  ,"780,698 ",  ,"1,047,372 ",  ,"780,696 ",  ,"266,676 ",  ,"54,543 ",  ,"47,007 ",  ,"7,536 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"906,970 ",  ,"9,722,718 ",,No,,,,,,,,,,,,,,
City of Jacksonville,Jacksonville,NC,4166,40166,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"105,419 ", 11 ,DR,PT,2,, -   ,  , 16.61 ,  , -   ,  , 2.20 ,  ,0 ,  ,0 ,  ,"31,072 ",  ,,  ,0 ,  ,"1,871 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"4,113 ",  ,0 ,,No,,,,,,,,,,,,,,
Dodge County Transit,Eastman,GA,4R03-019,4R03-40956,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 4 ,DR,DO,4,, -   ,  , 16.60 ,  , -   ,  , 2.58 ,  ,0 ,  ,0 ,  ,"95,242 ",  ,,  ,0 ,  ,"5,736 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"14,796 ",  ,0 ,,No,,,,,,,,,,,,,,
Union County Transportation ,Monroe,NC,4215,40215,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"1,249,442 ", 25 ,DR,DO,24,, -   ,  , 16.59 ,  , -   ,  , 2.05 ,  ,0 ,  ,0 ,  ,"629,346 ",  ,,  ,0 ,  ,"37,927 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"77,690 ",  ,0 ,,No,,,,,,,,,,,,,,
Memphis Area Transit Authority,Memphis,TN,4003,40003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,060,061 ", 150 ,DR,DO,42,, -   ,  , 16.59 ,  , 12.96 ,  , 2.25 ,  ,0 ,  ,"2,004,856 ",  ,"1,721,490 ",  ,"283,366 ",  ,"121,801 ",  ,"103,756 ",  ,"18,045 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"233,048 ",  ,"3,021,139 ",,No,,,,,,,,,,,,,,
Ketchikan Indian Community,Ketchikan,AK,0T34,00239,Tribe,Reduced Reporter,0 , 4 ,DR,DO,4,, -   ,  , 16.59 ,  , -   ,  , 3.89 ,  ,0 ,  ,0 ,  ,"24,851 ",  ,,  ,0 ,  ,"1,498 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"5,832 ",  ,0 ,,No,,,,,,,,,,,,,,
Ulster County Area Transit,Kingston,NY,2178,20178,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"423,566 ", 22 ,MB,DO,18,, -   ,  , 16.59 ,  , 10.16 ,  , 7.59 ,  ,"931,851 ",  ,"955,368 ",  ,"921,010 ",  ,"34,358 ",  ,"57,043 ",  ,"55,524 ",  ,"1,519 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"421,284 ",  ,"4,278,568 ",,No,,,,,,,,,,,,,,
Middlesex County Area Transit,New Brunswick,NJ,2196,20196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295 ", 88 ,MB,DO,13,, -   ,  , 16.58 ,  , -   , W , 9.01 ,  ,"596,521 ",  ,"700,124 ",  ,"577,934 ",  ,"122,190 ",  ,"37,946 ",  ,"34,857 ",  ,"3,089 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"314,179 ",  ,0 ,W,No,,,,,,,,,,,,,,
SNTC-Mesquite,Laughlin,NV,9R04-037,9R04-91107,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 9 ,MB,DO,3,, -   ,  , 16.57 ,  , -   ,  , 6.50 ,  ,0 ,  ,0 ,  ,"114,931 ",  ,,  ,0 ,  ,"6,935 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"45,048 ",  ,0 ,,No,,,,,,,,,,,,,,
Toledo Area Regional Transit Authority,Toledo,OH,5022,50022,Independent Public Agency or Authority of Transit Service,Full Reporter,"507,643 ", 177 ,DR,DO,62,, -   ,  , 16.56 , Q , 9.41 , Q , 2.44 , Q ,0 ,  ,"2,165,198 ",  ,"2,065,173 ", Q ,"100,025 ", Q ,"143,181 ",  ,"124,672 ", Q ,"18,509 ", Q ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"304,096 ", Q ,"2,862,011 ",Q,Yes,,,,,,,,,,,,,,
Northeastern Connecticut Transit District,Dayville,CT,1R01-003,1R01-10156,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 10 ,MB,DO,8,, -   ,  , 16.56 ,  , -   ,  , 4.79 ,  ,0 ,  ,0 ,  ,"161,722 ",  ,,  ,0 ,  ,"9,763 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"46,743 ",  ,0 ,,No,,,,,,,,,,,,,,
Ontonagon County Public Transit,Ontonagon,MI,5R03-057,5R03-50371,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 5 ,DR,DO,5,, -   ,  , 16.56 ,  , -   ,  , 3.69 ,  ,0 ,  ,0 ,  ,"137,882 ",  ,,  ,0 ,  ,"8,324 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"30,725 ",  ,0 ,,No,,,,,,,,,,,,,,
South East Texas Regional Planning Commission ,Beaumont ,TX,6R05-004,6R05-60155,"MPO, COG or Other Planning Agency",Rural Reporter,0 , 31 ,DR,DO,31,, -   ,  , 16.56 ,  , -   ,  , 2.17 ,  ,0 ,  ,0 ,  ,"489,962 ",  ,,  ,0 ,  ,"29,580 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"64,104 ",  ,0 ,,No,,,,,,,,,,,,,,
City of Jefferson,Jefferson City,MO,7043,70043,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"58,533 ", 17 ,MB,DO,9,, -   ,  , 16.56 ,  , -   ,  , 15.05 ,  ,0 ,  ,0 ,  ,"284,100 ",  ,,  ,0 ,  ,"17,160 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"258,273 ",  ,0 ,,No,,,,,,,,,,,,,,
Marsing Senior Center,Marsing,ID,0R01-004,0R01-00306,Private-Non-Profit Corporation,Rural Reporter,0 , 1 ,DR,DO,1,, -   ,  , 16.55 ,  , -   ,  , 1.32 ,  ,0 ,  ,0 ,  ,"7,760 ",  ,,  ,0 ,  ,469 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,617 ,  ,0 ,,No,,,,,,,,,,,,,,
Central Oklahoma Transportation and Parking Authority,Oklahoma City,OK,6017,60017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"861,505 ", 77 ,DR,DO,17,, -   ,  , 16.54 ,  , 9.06 ,  , 1.59 ,  ,0 ,  ,"578,445 ",  ,"486,553 ",  ,"91,892 ",  ,"34,032 ",  ,"29,411 ",  ,"4,621 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"46,647 ",  ,"422,851 ",,No,,,,,,,,,,,,,,
The Tri-State Transit Authority,Huntington,WV,3002,30002,Independent Public Agency or Authority of Transit Service,Full Reporter,"202,637 ", 37 ,DR,DO,10,, -   ,  , 16.54 ,  , 5.19 ,  , 2.03 ,  ,0 ,  ,"336,765 ",  ,"305,900 ",  ,"30,865 ",  ,"20,292 ",  ,"18,495 ",  ,"1,797 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"37,617 ",  ,"195,146 ",,No,,,,,,,,,,,,,,
Marshalltown Municipal Transit,Marshalltown,IA,7R01-020,7R01-70092,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 6 ,MB,DO,6,, -   ,  , 16.52 ,  , -   ,  , 15.48 ,  ,0 ,  ,0 ,  ,"119,092 ",  ,,  ,0 ,  ,"7,207 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"111,543 ",  ,0 ,,No,,,,,,,,,,,,,,
Lincoln County,Lincolnton,NC,4R06-074,4R06-40942,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 17 ,DR,DO,15,, -   ,  , 16.51 ,  , -   ,  , 1.29 ,  ,0 ,  ,0 ,  ,"496,433 ",  ,,  ,0 ,  ,"30,074 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"38,816 ",  ,0 ,,No,,,,,,,,,,,,,,
SNTC-Laughlin,Laughlin,NV,9R04-036,9R04-91072,Independent Public Agency or Authority of Transit Service,Rural Reporter,0 , 18 ,DR,DO,7,, -   ,  , 16.50 ,  , -   ,  , 3.30 ,  ,0 ,  ,0 ,  ,"89,957 ",  ,,  ,0 ,  ,"5,451 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"17,994 ",  ,0 ,,No,,,,,,,,,,,,,,
Toole County,Shelby,MT,8R02-031,8R02-80169,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 6 ,DR,DO,3,, -   ,  , 16.50 ,  , -   ,  , 20.62 ,  ,0 ,  ,0 ,  ,561 ,  ,,  ,0 ,  ,34 ,  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,701 ,  ,0 ,,No,,,,,,,,,,,,,,
Mid-Columbia Council of Governments,The Dalles,OR,0R02-009,0R02-00396,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 8 ,DR,DO,7,, -   ,  , 16.48 ,  , -   ,  , 4.51 ,  ,0 ,  ,0 ,  ,"74,346 ",  ,,  ,0 ,  ,"4,511 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"20,344 ",  ,0 ,,No,,,,,,,,,,,,,,
Forsyth County Public Transportation,Cumming,GA,4R03-005,4R03-41088,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 10 ,DR,DO,10,, -   ,  , 16.48 ,  , -   ,  , 1.67 ,  ,0 ,  ,0 ,  ,"178,895 ",  ,,  ,0 ,  ,"10,857 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"18,119 ",  ,0 ,,No,,,,,,,,,,,,,,
Avery County Transportation Authority,Newland,NC,4R06-002,4R06-41130,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 11 ,DR,DO,11,, -   ,  , 16.46 ,  , -   ,  , 1.48 ,  ,0 ,  ,0 ,  ,"256,811 ",  ,,  ,0 ,  ,"15,598 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"23,014 ",  ,0 ,,No,,,,,,,,,,,,,,
"Senior Citizens United Community Services of Camden County, Inc.",Audubon,NJ,2204,20204,Private-Non-Profit Corporation,Full Reporter,"5,441,567 ", 47 ,DR,DO,47,, -   ,  , 16.46 ,  , 5.47 ,  , 6.04 ,  ,0 ,  ,"1,070,079 ",  ,"451,038 ",  ,"619,041 ",  ,"63,339 ",  ,"27,400 ",  ,"35,939 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"165,558 ",  ,"905,704 ",,No,,,,,,,,,,,,,,
Metropolitan Transit Authority,Nashville,TN,4004,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,"969,587 ", 269 ,DR,DO,63,, -   ,  , 16.46 ,  , 14.47 ,  , 2.18 ,  ,0 ,  ,"2,839,688 ",  ,"2,341,460 ",  ,"498,228 ",  ,"166,267 ",  ,"142,268 ",  ,"23,999 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"309,819 ",  ,"4,481,850 ",,No,,,,,,,,,,,,,,
Rockingham County Council on Aging,Reidsville,NC,4R06-051,4R06-40929,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 18 ,DR,DO,15,, -   ,  , 16.44 ,  , -   ,  , 1.46 ,  ,0 ,  ,0 ,  ,"709,860 ",  ,,  ,0 ,  ,"43,175 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"63,022 ",  ,0 ,,No,,,,,,,,,,,,,,
County of Maui - Dept. of Transportation,Wailuku,HI,9241,90241,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"55,934 ", 91 ,CB,PT,7,, -   ,  , 16.44 ,  , 20.00 , W , 20.30 ,  ,"155,759 ",  ,"338,369 ",  ,"152,483 ",  ,"185,886 ",  ,"17,353 ",  ,"9,275 ",  ,"8,078 ",  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"188,299 ",  ,"3,765,960 ",W,No,,,,,,,,,,,,,,
Montgomery County Transit,Eastman,GA,4R03-070,4R03-41047,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 1 ,DR,DO,1,, -   ,  , 16.42 ,  , -   ,  , 1.46 ,  ,0 ,  ,0 ,  ,"17,279 ",  ,,  ,0 ,  ,"1,052 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"1,539 ",  ,0 ,,No,,,,,,,,,,,,,,
Malheur County,Vale,OR,0R02-046,0R02-00323,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0 , 13 ,MB,PT,1,, -   ,  , 16.42 ,  , -   ,  , 5.89 ,  ,0 ,  ,0 ,  ,"49,493 ",  ,,  ,0 ,  ,"3,014 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"17,754 ",  ,0 ,,No,,,,,,,,,,,,,,
Squaxin Island Tribe,Shelton,WA,0T16,00103,Tribe,Reduced Reporter,0 , 2 ,MB,DO,2,, -   ,  , 16.41 ,  , -   ,  , 8.39 ,  ,0 ,  ,0 ,  ,"46,128 ",  ,,  ,0 ,  ,"2,811 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"23,574 ",  ,0 ,,No,,,,,,,,,,,,,,
Rural Community Transportation,St. Johnsbury,VT,1R06-010,1R06-10148,Private-Non-Profit Corporation,Rural Reporter,0 , 110 ,CB,DO,1,, -   ,  , 16.41 ,  , -   ,  , 7.16 ,  ,0 ,  ,0 ,  ,"18,868 ",  ,,  ,0 ,  ,"1,150 ",  ,,  ,0 ,  ,0 ,  ,0 ,  ,0 ,  ,"8,237 ",  ,0 ,,No,,,,,,,,,,,,,,
